location,Ss,Sr,q10,q50
Acadia Valley,1.5,0.1,0.38,0.49
Airdrie,1.2,0.1,0.37,0.46
Athabsca,1.5,0.1,0.27,0.36
Banff,3.3,0.1,0.26,0.32
Barrhead,1.7,0.1,0.35,0.44
Bashaw,1.8,0.1,0.3,0.38
Bassano,1.3,0.1,0.39,0.51
Beaumont,1.9,0.1,0.34,0.43
Beaverlodge,2.4,0.1,0.27,0.36
Berwyn,2.3,0.1,0.24,0.33
Blackfalds,1.9,0.1,0.32,0.4
Bon Accord,1.8,0.1,0.34,0.43
Bonnyville,1.9,0.1,0.29,0.37
Bow Island,1.4,0.1,0.44,0.55
Bowden,1.6,0.1,0.33,0.41
Brooks,1.2,0.1,0.35,0.44
Bruderheim,1.8,0.1,0.33,0.42
Calgary,1.1,0.1,0.38,0.48
Calmar,1.9,0.1,0.33,0.42
Campsie,1.7,0.1,0.33,0.44
Camrose,2,0.1,0.31,0.39
Canmore,3.2,0.1,0.3,0.37
Cardston,1.5,0.1,0.58,0.72
Carstairs,1.5,0.1,0.35,0.44
Castor,1.8,0.1,0.28,0.35
Claresholm,1.3,0.1,0.46,0.58
Coalsdale,1.2,0.1,0.52,0.65
Cochrane,1.4,0.1,0.38,0.48
Cold Lake,1.7,0.1,0.29,0.38
Coleman,2.7,0.3,0.5,0.63
Coronation,1.9,0.1,0.3,0.37
Cowley,1.6,0.1,0.81,1.01
Crossfield,1.4,0.1,0.36,0.45
Daysland,1.9,0.1,0.28,0.34
Devon,1.9,0.1,0.35,0.44
Diamond Valley,1.4,0.1,0.52,0.65
Didsbury,1.4,0.1,0.33,0.42
Drayton Valley,2,0.1,0.32,0.42
Drumheller,1.2,0.1,0.35,0.44
Eckville,1.9,0.1,0.31,0.39
Edmonton,1.7,0.1,0.36,0.45
Edson,2.1,0.1,0.37,0.46
Elk Point,1.9,0.1,0.29,0.37
Embarras Portage,2.2,0.1,0.28,0.37
Fairview,2.4,0.1,0.26,0.35
Falher,2.4,0.1,0.28,0.36
Foremost,1.5,0.1,0.44,0.56
Fort Chipewyan,2.5,0.1,0.29,0.39
Fort MacLeod,1.2,0.1,0.54,0.68
Fort McMurray,1.5,0.1,0.28,0.35
Fort Saskatchewan,1.6,0.1,0.34,0.43
Fort Vermillion,2.1,0.1,0.23,0.3
